part_number;description;unit_code;com_code1;com_code2
POP00001;poporuh černý PAD 10 mm;m;POP;NULL
POP00002;popruh černý PAD 16 mm;m;POP;NULL
POP00003;popruh černý PAD 20 mm;m;POP;NULL
POP00004;popruh černý PAD 25 mm;m;POP;NULL
POP00005;popruh černý PAD 40 mm;m;POP;NULL
POP00006;lemovka černá PAD 25 mm;m;POP;NULL
POP00007;lemovka černá PES 25 mm;m;POP;NULL
POP00008;pruženka černá 25 mm;m;POP;NULL
POP00009;popruh černý PES 10 mm;m;POP;NULL
POP00010;popruh černý PES 16 mm;m;POP;NULL
POP00011;popruh černý PES 20 mm;m;POP;NULL
POP00012;popruh černý PES 25 mm;m;POP;NULL
POP00013;popruh černý PES 55 mm;m;POP;NULL
POP00014;popruh černý bavlna 20 mm;m;POP;NULL
POP00015;popruh bílý PAD 10 mm;m;POP;NULL
POP00016;popruh bílý PAD 20 mm;m;POP;NULL
POP00017;popruh bílý PAD 25 mm;m;POP;NULL
POP00018;popruh přírodní bavlna 20 mm;m;POP;NULL
POP00019;popruh přírodní bavlna 30 mm;m;POP;NULL
POP00020;popruh modrý PAD 10 mm;m;POP;NULL
POP00021;popruh modrý PAD 20 mm;m;POP;NULL
POP00022;popruh modrý PAD 25 mm;m;POP;NULL
POP00023;popruh modrý bavlna 40 mm;m;POP;NULL
POP00024;popruh oranžový reflexní PAD 16 mm;m;POP;NULL
POP00025;popruh oranžový reflexní PAD 20 mm;m;POP;NULL
POP00026;popruh oranžový tmavě PAD 20 mm;m;POP;NULL
POP00027;popruh červený PAD 10 mm;m;POP;NULL
POP00028;popruh červený PAD 20 mm;m;POP;NULL
POP00029;popruh červený PAD 25 mm;m;POP;NULL
POP00030;popruh zelený reflexní PAD 10 mm;m;POP;NULL
POP00031;popruh žlutý PAD 10 mm;m;POP;NULL
POP00032;popruh šedý PAD 10 mm;m;POP;NULL
POP00033;popruh béžový PAD 20 mm;m;POP;NULL
POP00034;popruh fialový PAD 20 mm;m;POP;NULL
POP00035;popruh kaki bavlna 34 mm;m;POP;NULL
POP00036;popruh pruhovaný č,o,z,m,ž 25 mm;m;POP;NULL
POP00037;popruh pruhovaný š,f,š 30 mm;m;POP;NULL
POP00038;pryžové vlákno černá PES;m;POP;NULL
POP00039;gumolano červené 4mm;m;POP;NULL
POP00040;oděvní vázačka bílý PES 3,5mm;m;POP;NULL
POP00041;oděvní vázačka černý PES 3,5 mm;m;POP;NULL
POP00042;oděvní vázačka žlutý PES 3,5 mm;m;POP;NULL
POP00043;paracorde modrá  3,5 mm;m;POP;NULL
POP00044;paracorde červený 3,5 mm;m;POP;NULL
POP00045;paracorde černý 3,5 mm;m;POP;NULL
POP00046;automobilové pásy 45mm;m;POP;NULL
POP00047;dutinka zlatá 20 mm;m;POP;NULL
POP00048;suché zipy 10 mm háček;m;POP;NULL
POP00049;suché zipy 10 mm plyš;m;POP;NULL
POP00050;suché zipy 25 mm háček;m;POP;NULL
POP00051;suché zipy 25 mm plyš;m;POP;NULL
POP00052;suché zipy 30 mm háček;m;POP;NULL
POP00053;suché zipy 30 mm plyš;ks;POP;NULL
POP00054;prsní zavírání pytel 20mm*600mm;ks;POP;NULL
POP00055;horní lem pytel 20mm*930mm;ks;POP;NULL
HAR00001;YKK samice 25 mm černá;ks;HAR;NULL
HAR00002;YKK samec 25 mm černá;ks;HAR;NULL
HAR00003;YKK samec 25 mm černá EVO;ks;HAR;NULL
HAR00004;YKK samice 25 mm černá EVO;ks;HAR;NULL
HAR00005;YKK samice 20 mm černá;ks;HAR;NULL
HAR00006;YKK samec 20 mm černá;ks;HAR;NULL
HAR00007;YKK samec 16 mm černá;ks;HAR;NULL
HAR00008;YKK samice 16 mm černá;ks;HAR;NULL
HAR00009;YKK žebříček 16 mm černá;ks;HAR;NULL
HAR00010;YKK žebříček 20 mm černá;ks;HAR;NULL
HAR00011;YKK žebříček 25 mm černá;ks;HAR;NULL
HAR00012;YKK žebříček 25 mm černá WICKER;ks;HAR;NULL
HAR00013;YKK očko 18 mm černá;ks;HAR;NULL
HAR00014;YKK očko 20 mm černá;ks;HAR;NULL
